,MealsOut,SchBkfst_0,SchBkfst_1,SchBkfst_2,SchLunch_0,SchLunch_1,SchLunch_2,NwkLunch,NwkBkfast,Milk30Days,SchMeal,NwkMeals,MilkType,GTot,GRefine,GWhole,VTot,VDrkGr,VRedOrTot,VRedOr,VTomato,VStarchTot,VStarchPot,VStarchOth,VOther,Legume,FTot,FCitMlB,FOther,DTot,DMilk,DYogurt,DCheese,PTot,Pmps,PMeat,PFrank,POrgan,PPoult,PFishLow,PFishHigh,PEgg,PSoy,PNut,Oils,SolidFat,AddSugars,Alcohol
9770,1.0,False,False,True,False,False,True,0.0,0.0,1.0,2.0,2.0,1.0,6.8,6.8,0.0,3.67,1.52,1.92,0.96,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.99,28.4,0.0,0.0,0.0,25.06,2.38,0.96,0.59,0.0,0.0,21.84,12.26,5.8,0.0
9771,0.0,True,False,False,True,False,False,3.0,0.0,1.0,0.0,4.0,3.0,10.45,10.45,0.0,0.53,0.0,0.11,0.05,0.01,0.33,0.33,0.0,0.15,0.0,0.09,0.09,0.0,0.32,0.32,0.0,0.0,1.56,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.0,16.02,28.41,46.07,0.0
9772,5.0,False,True,False,False,True,False,5.0,5.0,3.0,1.0,6.0,3.0,20.86,20.86,0.0,2.47,0.18,1.4,0.18,1.04,0.73,0.73,0.0,0.34,0.0,0.0,0.0,0.0,2.43,0.25,0.0,2.18,6.53,6.53,0.23,2.91,0.0,3.38,0.0,0.0,0.0,0.0,0.0,14.61,51.93,22.82,0.0
9773,0.0,False,False,True,False,False,True,0.0,0.0,2.0,2.0,2.0,4.0,8.06,8.06,0.0,2.17,0.0,0.69,0.0,0.69,0.26,0.26,0.0,1.24,0.97,0.89,0.89,0.0,2.54,0.0,0.0,2.53,8.86,8.42,5.84,0.0,0.0,2.58,0.0,0.0,0.44,0.0,0.0,47.21,40.24,52.15,16.97
9774,0.0,True,False,False,True,False,False,3.0,0.0,2.0,0.0,4.0,2.0,3.59,3.59,0.0,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,1.48,0.0,0.0,1.48,5.8,5.79,0.0,1.98,0.0,3.81,0.0,0.0,0.01,0.0,0.0,19.15,10.91,10.76,0.0
9775,0.0,False,True,False,False,True,False,5.0,5.0,3.0,1.0,6.0,4.0,14.57,14.57,0.0,1.95,0.0,0.11,0.0,0.11,1.53,1.53,0.0,0.31,0.0,0.27,0.27,0.0,4.68,2.19,0.0,2.49,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.94,138.53,52.31,0.0
9776,2.0,False,False,True,False,False,True,0.0,0.0,3.0,2.0,2.0,1.0,11.88,11.48,0.4,0.48,0.0,0.13,0.0,0.13,0.15,0.15,0.0,0.2,0.69,2.15,0.44,1.71,0.04,0.02,0.0,0.0,8.68,5.76,0.0,4.87,0.0,0.0,0.57,0.32,0.02,0.0,2.9,25.63,16.66,13.81,0.0
9777,0.0,False,True,False,False,True,False,5.0,0.0,3.0,1.0,6.0,4.0,7.4,7.4,0.0,1.32,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,2.31,0.0,1.07,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,25.67,44.9,32.76,0.0
9778,7.0,False,True,False,False,True,False,5.0,5.0,2.0,1.0,6.0,3.0,10.42,10.42,0.0,2.01,0.0,0.09,0.0,0.09,1.48,0.71,0.77,0.44,0.0,0.0,0.0,0.0,3.69,1.63,0.0,2.06,18.29,12.83,8.61,0.9,0.0,3.32,0.0,0.0,5.46,0.0,0.0,24.5,94.19,23.38,0.0
9779,3.0,False,True,False,False,True,False,2.0,0.0,3.0,1.0,3.0,1.0,3.52,3.52,0.0,0.97,0.0,0.22,0.0,0.22,0.59,0.59,0.0,0.16,0.0,0.15,0.15,0.0,0.48,0.0,0.0,0.48,4.46,4.46,1.18,0.0,0.0,3.28,0.0,0.0,0.0,0.0,0.0,30.78,21.96,19.96,0.0
9780,0.0,False,False,True,False,False,True,0.0,0.0,3.0,2.0,2.0,4.0,15.88,15.88,0.0,0.56,0.0,0.07,0.0,0.07,0.44,0.44,0.0,0.05,0.0,0.0,0.0,0.0,4.33,1.83,0.0,2.49,5.81,5.81,2.63,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.64,62.02,154.01,0.0
9781,3.0,True,False,False,False,True,False,0.0,0.0,3.0,1.0,0.0,1.0,18.89,17.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,1.5,1.5,0.0,0.0,10.68,7.9,0.0,3.17,0.0,4.73,0.0,0.0,0.79,0.0,2.0,50.0,26.5,28.05,0.0
9782,5.0,False,True,False,False,True,False,0.0,0.0,3.0,1.0,1.0,3.0,7.36,4.52,2.84,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,1.69,1.69,0.0,0.0,5.67,5.65,0.0,0.0,0.0,0.0,4.24,1.41,0.02,0.0,0.0,12.35,17.33,3.53,3.17
